MFK Zemplín Michalovce,AS Trenčín,16.07.2016,19:00,Mestský futbalový štadión,2,1,"Igor Žofčák (37), Dávid Škutka (57), Aliko Mohammad Bala (83)","Milan  Šimčák (44), Dominik  Kunca (85), Martin  Koscelník (90), Maduka Christopher  Udeh (27), Denis  Jančo (40), Peter  Kleščík (90)",
FC Tatran Prešov,MFK Zemplín Michalovce,24.07.2016,20:22,1.FC  TATRAN   PREŠOV,0,0,,,
MFK Zemplín Michalovce,FC Spartak Trnava,21.02.2017,17:00,NTC Poprad,2,0,"Martin Regáli (63), Igor Žofčák (68)","Jakub  Grič (33), Jozef  Vajs (84), Oliver  Janso (74), Martin  Tóth (76)",
MFK Zemplín Michalovce,FK Senica,16.09.2017,19:00,Mestský futbalový štadión,2,1,"Sadam Sulley (25), Sadam Sulley (76), Oliver Podhorin (60)","Aliaksandr  Sviarchynski (63), Hans Nunoo  Sarpei (69), Blažej  Vaščak (70)",
FC ViOn Zlaté Moravce - Vráble,FC DAC 1904 Dunajská Streda,17.09.2017,19:00,ViOn Aréna,2,3,"Róbert Gešnábel (63), Róbert Gešnábel (64), Zsolt Kalmár (53), Zsolt Kalmár (79), Marko Divkovič (85)","Martin  Chren (34), Mateus  De Oliveira Silva (41), Yves Simon  Pambou (31)",
FC Tatran Prešov,FC Spartak Trnava,16.09.2017,19:00,NTC Poprad,0,2,"Erik Jirka (21), Erik Jirka (86)",Roland  Černák (30),
FC Nitra,FK Železiarne Podbrezová,16.09.2017,19:00,"FC Nitra, a.s.",1,0,Tomáš Kóňa (58),Matúš  Mikuš (59),
MŠK Žilina,AS Trenčín,16.09.2017,19:30,Štadión MŠK Žilina,5,1,"Miroslav Káčer (21), Lukáš Jánošík (38), Filip Kaša (44), Michal Škvarka (71), Nikolas Špalek (73), Antonio Mance (28)",,
ŠK Slovan Bratislava ,MFK Ružomberok,16.09.2017,17:30,Pasienky,2,1,"Jakub Mareš (32), David Holman (34), Erik Daniel (83)",,
ŠK Slovan Bratislava ,MFK Zemplín Michalovce,19.09.2017,20:30,Pasienky,3,1,"Jakub Mareš (45), Filip Hološko (53), Filip Oršula (63), Milan Šimčák (72)",Peter  Kavka (62),
MFK Ružomberok,MŠK Žilina,19.09.2017,18:30,MFK Ružomberok,1,0,Martin Králik (vl) (84),"Matej  Kochan (87), Marek  Sapara (90)",
AS Trenčín,FC Nitra,20.09.2017,18:30,Štadión Sihoť,2,1,"Antonio Mance (22), Rangelo Janga (75), Tomáš Kóňa (63)",,
FK Železiarne Podbrezová,FC Tatran Prešov,19.09.2017,19:00,Zelpo Arena,2,0,"Lazar Djordjevič (4), Endy Opoku Bernadina (44)","Matúš  Turňa (60), Jaroslav  Kostelný (63), Matúš  Mikuš (68), Roland  Černák (27), Erik  Streňo (75)",
FC DAC 1904 Dunajská Streda,FC Tatran Prešov,25.02.2017,14:00,MOL Aréna,5,0,"Erik Pačinda (9), Pape Macou Sarr (56), Kristopher Vida (65), Pavol Šafranko (67), Erik Pačinda (73)","Eric  Davis (78), Erik  Streňo (78)",
FC Spartak Trnava,FC ViOn Zlaté Moravce - Vráble,20.09.2017,19:00,Štadión Antona Malatinského,1,0,Erik Jirka (32),"Matúš  Čonka (18), Mateus  De Oliveira Silva (6), Miloš  Nikolić (21), Timotej  Záhumenský (86)",
FC DAC 1904 Dunajská Streda,FK Senica,20.09.2017,19:00,MOL Aréna,1,0,Eric Davis (86),"Zsolt  Kalmár (90), Dávid  Richtárech (74), Blažej  Vaščak (87)",
FK Senica,FC Spartak Trnava,23.09.2017,19:00,FK Senica,1,3,"Jurij Medveděv (70), Marvin Egho (15), Erik Jirka (37), Boris Godál (pen) (77)","Hans Nunoo  Sarpei (29), Michal  Ranko (35), Jakub  Krč (60), Romulo  Silva Santos (65), Jurij  Medveděv (76), Ivan  Hladík (65), Martin  Vantruba (84)",
MFK Zemplín Michalovce,FC DAC 1904 Dunajská Streda,24.09.2017,19:00,Mestský futbalový štadión,1,2,"Sadam Sulley (10), Erik Pačinda (44), Eric Davis (71)","Aliaksandr  Sviarchynski (19), Milan  Šimčák (29), Martin  Koscelník (60), Miroslav  Božok (90), Yves Simon  Pambou (16)",
MŠK Žilina,ŠK Slovan Bratislava ,24.09.2017,19:00,Štadión MŠK Žilina,3,2,"Lukáš Jánošík (14), Nikolas Špalek (55), Lukáš Jánošík (72), Filip Oršula (9), Róbert Vittek (87)","Miroslav  Káčer (37), Lukáš  Jánošík (72), Rabiu  Ibrahim (45)",
FC Nitra,MFK Ružomberok,23.09.2017,17:00,"FC Nitra, a.s.",0,0,,"Richard  Križan (53), Patrik  Abrahám (87), Ján  Maslo (52), Peter  Maslo (90)",
FC Tatran Prešov,AS Trenčín,24.09.2017,19:00,NTC Poprad,0,7,"Desley Ubbink (27), Giorgi Beridze (33), Antonio Mance (37), Hilary Gong Chuhwak (46), Rangelo Janga (60), Rangelo Janga (78), Giorgi Beridze (89)","Roland  Černák (65), Miroslav  Petko (76)",
FC ViOn Zlaté Moravce - Vráble,FK Železiarne Podbrezová,23.09.2017,19:00,ViOn Aréna,1,0,Jaroslav Kostelný (vl) (44),"Damián  Bariš (68), Pavel  Kováč (90), Aldo  Baez (22), Lazar  Djordjevič (28), Dávid  Leško (59), Adrián  Kačerík (86)",
AS Trenčín,FC ViOn Zlaté Moravce - Vráble,30.09.2017,20:00,Štadión Sihoť,3,0,"Rangelo Janga (20), Rangelo Janga (75), Giorgi Beridze (78)","Achraf  El Mahdioui (58), Karol  Karlík (44), Martin  Chren (54), Timotej  Záhumenský (75)",
MFK Ružomberok,FC Tatran Prešov,01.10.2017,19:00,MFK Ružomberok,3,1,"Nermin Haskič (17), Nermin Haskič (78), Dominik Kružliak (pen) (87), Roland Černák (37)","Matej  Kochan (60), Tomáš  Sedlák (16), Juraj  Hovančík (54), Maduka Christopher  Udeh (79)",
ŠK Slovan Bratislava ,AS Trenčín,25.02.2017,17:00,Pasienky,4,3,"Seydouba Soumah (19), Tamás Priskin (48), Tamás Priskin (61), Tamás Priskin (88), Giorgi Beridze (29), Lukáš Skovajsa (52), Vernon De Marco Morlacchi (vl) (87)","Vukan  Savičevič (75), Milan  Rundič (85), Peter  Kleščík (36), Keston  Julien (58)",
ŠK Slovan Bratislava ,FC Nitra,30.09.2017,19:04,Pasienky,1,1,"Filip Hološko (8), Tomáš Kóňa (88)",Richard  Križan (84),
MŠK Žilina,MFK Zemplín Michalovce,30.09.2017,19:00,Štadión MŠK Žilina,2,1,"Nikolas Špalek (59), Filip Kaša (78), Igor Žofčák (pen) (23)","Róbert  Mazáň (62), Filip  Kaša (79), Sadam  Sulley (38), Aliaksandr  Sviarchynski (57)",
FC Spartak Trnava,FC DAC 1904 Dunajská Streda,30.09.2017,17:15,Štadión Antona Malatinského,2,0,"Vachtang Čanturišvili (83), Marvin Egho (84)","Ján  Vlasko (39), Vachtang  Čanturišvili (42), Boris  Godál (51), Marvin  Egho (64), Slavko  Lukič (67), Kristopher  Vida (25), Marin  Ljubičič (29), Erik  Pačinda (36), Yves Simon  Pambou (39), Marko  Živkovič (45), Zsolt  Kalmár (80)",
FK Železiarne Podbrezová,FK Senica,30.09.2017,19:00,Zelpo Arena,1,0,Andrej Rendla (10),"Dávid  Leško (77), Oliver  Podhorin (80), Michal  Ranko (84)",
MFK Zemplín Michalovce,FC Spartak Trnava,14.10.2017,15:00,Mestský futbalový štadión,0,3,"Matúš Čonka (5), Erik Jirka (23), Andrej Kadlec (84)","Stanislav  Danko (69), Jose  Carrillo (83), Slavko  Lukič (29), Ján  Vlasko (45)",
FK Železiarne Podbrezová,FC DAC 1904 Dunajská Streda,14.10.2017,17:00,Zelpo Arena,0,2,"Tomáš Huk (65), Marin Ljubičič (88)","Lukáš  Čmelík (29), Branislav  Ľupták (70)",
ŠK Slovan Bratislava ,FC Tatran Prešov,14.10.2017,17:00,Pasienky,3,2,"David Holman (30), Jakub Mareš (67), Jakub Mareš (77), Jakub Grzegorz Wiezik (23), Erik Streňo (53)","Rabiu  Ibrahim (61), Jakub  Mareš (72), Maduka Christopher  Udeh (72), Jakub  Bartek (83)",
MŠK Žilina,FC Nitra,15.10.2017,17:00,Štadión MŠK Žilina,2,0,"Samuel Mráz (22), Richard Križan (vl) (58)","Filip  Kaša (28), Christián  Steinhübel (61), Macdonald Ngwa  Niba (72), Lukáš  Hroššo (86)",
AS Trenčín,FK Senica,14.10.2017,17:00,Štadión Sihoť,4,1,"Ricky van Haaren (41), Rangelo Janga (44), Rangelo Janga (52), Martin Šulek (66), Oliver Podhorin (pen) (80)",,
MFK Ružomberok,FC ViOn Zlaté Moravce - Vráble,14.10.2017,18:00,MFK Ružomberok,1,1,"Erik Daniel (29), Róbert Gešnábel (35)","Šimon  Kupec (64), Martin  Dobrotka (13), Ľubomír  Urgela (63), Dawid  Szymonowicz (86)",
FC Spartak Trnava,FK Senica,25.02.2017,17:00,ViOn Aréna,0,1,Alan Kováč (58),"Emir  Halilovič (55), Boris  Godál (78), Matúš  Čonka (83), Kubilay Türk  Yilmaz (88), Viktor  Miklós (15), Boris  Bališ (59), Daniel  Turyna (78), Juraj  Kotula (86)",
FK Senica,MFK Ružomberok,21.10.2017,17:00,FK Senica,0,3,"Nermin Haskič (67), Tihomir Kostadinov (69), Erik Daniel (75)","Jakub  Krč (25), Blažej  Vaščak (67), Dominik  Kružliak (71)",
FC ViOn Zlaté Moravce - Vráble,ŠK Slovan Bratislava ,21.10.2017,17:00,ViOn Aréna,3,2,"Ewerton Paixao Da Silva (9), Ewerton Paixao Da Silva (45), Karol Karlík (61), Filip Hološko (27), Aleksandar Čavrič (62)","Mateus  De Oliveira Silva (32), Damián  Bariš (75), Ľubomír  Urgela (90), Erik  Čikoš (11), David  Holman (53), Lukáš  Droppa (80)",František  Kubík (90)
FC Tatran Prešov,MŠK Žilina,22.10.2017,17:00,NTC Poprad,0,1,Samuel Mráz (27),"Ján  Dzurík (73), Nikolas  Špalek (71), Juraj  Chvátal (79), Michal  Škvarka (90)",
MFK Zemplín Michalovce,FC Nitra,21.10.2017,17:00,Mestský futbalový štadión,0,0,,"Martin  Kolesár (31), Jakub  Grič (88), Matúš  Kuník (32)",
FC DAC 1904 Dunajská Streda,AS Trenčín,21.10.2017,15:00,MOL Aréna,1,2,"Erik Pačinda (28), Ricky van Haaren (4), Rangelo Janga (70)","James  Lawrence (22), Achraf  El Mahdioui (37), Giorgi  Beridze (74), Martin  Šulek (83)",
FC Spartak Trnava,FK Železiarne Podbrezová,21.10.2017,17:00,Štadión Antona Malatinského,2,0,"Ján Vlasko (49), Vachtang Čanturišvili (78)","Martin  Tóth (14), Aldo  Baez (1), Ján  Krivák (45), Martin  Kuciak (77)",
FC Nitra,FC Tatran Prešov,28.10.2017,17:00,"FC Nitra, a.s.",2,0,"Filip Balaj (pen) (67), Andrej Ivančík (69)",,
MŠK Žilina,FC ViOn Zlaté Moravce - Vráble,28.10.2017,15:00,Štadión MŠK Žilina,2,0,"Miroslav Káčer (pen) (14), Samuel Mráz (89)","Juraj  Chvátal (19), Miroslav  Káčer (68), Eugeniu  Cociuc (86), Karol  Karlík (17), Róbert  Gešnábel (37), Peter  Sládek (69)",
ŠK Slovan Bratislava ,FK Senica,28.10.2017,17:00,Pasienky,2,2,"Boris Sekulič (7), Jakub Mareš (pen) (33), Denis Duga (46), Oliver Podhorin (49)","Filip  Hološko (25), Jakub  Krč (22)",
MFK Ružomberok,FC DAC 1904 Dunajská Streda,28.10.2017,18:00,MFK Ružomberok,1,1,"Dominik Kružliak (pen) (85), Marko Živkovič (21)",Nermin  Haskič (7),
MFK Ružomberok,FK Železiarne Podbrezová,26.02.2017,15:20,MFK Ružomberok,0,0,,"Jozef  Menich (31), Matúš  Turňa (17), Kamil  Kuzma (84), Patrik  Vajda (88)",
AS Trenčín,FC Spartak Trnava,29.10.2017,17:00,Štadión Sihoť,1,2,"Ricky van Haaren (68), Marvin Egho (49), Vachtang Čanturišvili (58)","Giorgi  Beridze (17), Lukáš  Skovajsa (25), Peter  Čögley (76), Yasin  Pehlivan (38), Erik  Jirka (40)",Peter  Kleščík (35)
MFK Zemplín Michalovce,FK Železiarne Podbrezová,28.10.2017,17:00,Mestský futbalový štadión,2,1,"Igor Žofčák (pen) (6), Martin Koscelník (18), Viktor Jedinák (28)","Igor  Žofčák (45), Miroslav  Božok (55), Jaroslav  Kostelný (42), Adrián  Kopičár (90)",Ján  Krivák (5)
FC DAC 1904 Dunajská Streda,ŠK Slovan Bratislava ,03.11.2017,18:00,MOL Aréna,2,1,"Erik Pačinda (65), Zsolt Kalmár (83), Filip Hološko (31)","Zsolt  Kalmár (57), Erik  Pačinda (85), Boris  Sekulič (52)",
FK Senica,MŠK Žilina,05.11.2017,17:00,FK Senica,4,1,"Blažej Vaščak (24), Samuel Šefčík (30), Jurij Medveděv (47), Alan Kováč (90), Miroslav Káčer (pen) (39)","Jurij  Medveděv (61), Michal  Ranko (65)",
FC ViOn Zlaté Moravce - Vráble,FC Nitra,05.11.2017,17:00,ViOn Aréna,2,2,"Peter Sládek (1), Timotej Záhumenský (43), Filip Balaj (pen) (24), Tomáš Kóňa (28)","Martin  Dobrotka (24), Matúš  Kuník (31), René  Kotrík (48), Ondřej  Vencl (51)",
FC Tatran Prešov,MFK Zemplín Michalovce,03.11.2017,17:00,NTC Poprad,1,0,Martin Luberda (50),"Richard  Kačala (80), Martin  Kolesár (15), Jose  Carrillo (49), Martin  Koscelník (66), Jakub  Grič (78)",
FK Železiarne Podbrezová,AS Trenčín,03.11.2017,17:00,Zelpo Arena,1,8,"Endy Opoku Bernadina (80), Rangelo Janga (6), Jaroslav Kostelný (vl) (22), Desley Ubbink (33), Achraf El Mahdioui (43), Rangelo Janga (45), Desley Ubbink (48), Philip Elayo Azango (62), Martin Šulek (68)","Dávid  Leško (41), James  Lawrence (41)",
FC Spartak Trnava,MFK Ružomberok,05.11.2017,17:00,Štadión Antona Malatinského,1,1,"Ján Vlasko (17), Nermin Haskič (4)","Anton  Sloboda (37), Tihomir  Kostadinov (14), Matúš  Macík (89)",
MŠK Žilina,FC DAC 1904 Dunajská Streda,18.11.2017,15:00,Štadión MŠK Žilina,0,0,,"Dávid  Hancko (56), Esmerald  Aluku (39), Lukáš  Čmelík (46), Marin  Ljubičič (90)",
ŠK Slovan Bratislava ,FC Spartak Trnava,19.11.2017,14:00,Pasienky,1,0,Filip Hološko (14),"Vukan  Savičevič (39), Jakub  Mareš (66), Vachtang  Čanturišvili (18), Yasin  Pehlivan (52), Anton  Sloboda (64), Andrej  Kadlec (90)",
MŠK Žilina,FC ViOn Zlaté Moravce - Vráble,26.02.2017,17:30,Štadión MŠK Žilina,4,1,"Miroslav Káčer (50), Samuel Mráz (54), Filip Hlohovský (85), Lukáš Jánošík (90), Martin Boszorád (42)","Nikolas  Špalek (44), Kouakou Privat  Yao (61), Mateus  De Oliveira Silva (68)",
FC Tatran Prešov,FC ViOn Zlaté Moravce - Vráble,18.11.2017,14:00,NTC Poprad,1,1,"Roland Černák (87), Karol Karlík (57)","Dávid  Keresteš (38), Usman Adekunle  Issa (43), Damián  Bariš (44), Miloš  Nikolić (86)",
FC Nitra,FK Senica,18.11.2017,14:00,"FC Nitra, a.s.",0,0,,"Jaroslav  Machovec (28), Jakub  Krč (17)",
MFK Ružomberok,FK Železiarne Podbrezová,18.11.2017,14:00,MFK Ružomberok,3,0,"Kristi Qose (15), Matej Kochan (36), Dalibor Takáč (73)","Aldo  Baez (40), Jakub  Sedláček (47), Matúš  Turňa (64)",
MFK Zemplín Michalovce,AS Trenčín,28.11.2017,16:00,Mestský futbalový štadión,1,1,"Stanislav Danko (74), Peter Kavka (vl) (54)","Jakub  Grič (33), Jozef-Šimon  Turík (46), Martin  Koscelník (51), Giorgi  Beridze (31)",
FK Senica,FC Tatran Prešov,25.11.2017,14:00,FK Senica,1,0,Michal Ranko (76),"Erik  Otrísal (66), Jurij  Medveděv (84), Roland  Černák (43), Jakub  Bartek (45)",
FC ViOn Zlaté Moravce - Vráble,MFK Zemplín Michalovce,25.11.2017,14:00,ViOn Aréna,0,1,Martin Koscelník (41),"Miloš  Nikolić (44), Karol  Karlík (45), Mateus  De Oliveira Silva (90), Jose  Carrillo (20), Martin  Kolesár (38), Gerard  Bieszczad (60), Peter  Kavka (74)",
FC Spartak Trnava,MŠK Žilina,25.11.2017,15:00,Štadión Antona Malatinského,0,3,"Lukáš Jánošík (12), Michal Škvarka (62), Samuel Mráz (75)","Anton  Sloboda (32), Andrej  Lovás (84), Boris  Godál (86), Róbert  Mazáň (40), Miloš  Lačný (83)",
FC DAC 1904 Dunajská Streda,FC Nitra,26.11.2017,14:00,MOL Aréna,0,0,,"Bence  Mervó (88), Ondřej  Vencl (41)",
AS Trenčín,MFK Ružomberok,25.11.2017,14:00,Štadión Sihoť,1,2,"Rangelo Janga (38), Nermin Haskič (85), Dominik Kružliak (90)","Desley  Ubbink (72), Achraf  El Mahdioui (84), Ján  Maslo (1), Peter  Gal Andrezly (83)",
FK Železiarne Podbrezová,ŠK Slovan Bratislava ,25.11.2017,14:00,Zelpo Arena,1,1,"Endy Opoku Bernadina (63), Milan Rundič (10)","Endy Opoku  Bernadina (22), Aldo  Baez (33), Martin  Kuciak (90), Lukáš  Droppa (17), Jakub  Mareš (33), Mitchell  Schet (88)",Jakub  Sedláček (72)
FC DAC 1904 Dunajská Streda,MFK Ružomberok,04.03.2017,14:00,MOL Aréna,1,1,"Pavol Šafranko (9), Peter Maslo (42)","Marin  Ljubičič (82), Jakub  Mareš (19), Peter  Gal Andrezly (29), Tomáš  Gerát (90)",
FC Nitra,FC Spartak Trnava,05.12.2017,17:00,Štadión Sihoť,0,1,Anton Sloboda (89),Aurelien  Ngeyitala Lola (30),
MŠK Žilina,FK Železiarne Podbrezová,02.12.2017,14:00,Štadión MŠK Žilina,1,0,Yusuf Otubanjo (11),"Miroslav  Káčer (6), Ivan  Diaz (26), Dávid  Hancko (39), Filip  Kaša (67), Dávid  Leško (26), Jaroslav  Kostelný (62), Matúš  Turňa (73)",
FC ViOn Zlaté Moravce - Vráble,FK Senica,02.12.2017,14:00,ViOn Aréna,3,0,"Róbert Gešnábel (16), Martin Chren (19), Róbert Gešnábel (53)",Róbert  Gešnábel (87),
FC Tatran Prešov,FC DAC 1904 Dunajská Streda,02.12.2017,14:00,NTC Poprad,0,0,,"Erik  Streňo (26), Usman Adekunle  Issa (62), Erik  Pačinda (26)",
MFK Zemplín Michalovce,MFK Ružomberok,02.12.2017,14:00,Mestský futbalový štadión,1,1,"Stanislav Danko (66), Štefan Gerec (68)","Stanislav  Danko (47), Milan  Šimčák (89)",
ŠK Slovan Bratislava ,AS Trenčín,02.12.2017,15:00,Pasienky,1,1,"Jakub Mareš (27), Hilary Gong Chuhwak (25)","Lukáš  Droppa (50), Filip  Hološko (55), Vukan  Savičevič (68), Abdul Musa  Zubairu (56), Peter  Čögley (56)",
AS Trenčín,MŠK Žilina,09.12.2017,15:00,Štadión Sihoť,5,2,"Achraf El Mahdioui (10), Rangelo Janga (13), Desley Ubbink (17), Giorgi Beridze (68), Desley Ubbink (70), Miroslav Káčer (18), Dávid Hancko (90)","Martin  Šulek (43), Ivan  Diaz (30), Miroslav  Káčer (67)",
MFK Ružomberok,ŠK Slovan Bratislava ,10.12.2017,14:00,MFK Ružomberok,0,1,Filip Oršula (64),Michal  Jonec (65),
FK Senica,MFK Zemplín Michalovce,09.12.2017,14:00,FK Senica,1,1,"Jurij Medveděv (24), Stanislav Danko (55)","Oliver  Podhorin (29), Blažej  Vaščak (57), Jakub  Krč (67), Anton  Antonov (69)",
