Stanislav Danko,MFK Zemplín Michalovce,stredopoliar,17.03.1994,29,7,117,12,17,0
Jozef Bujňák,FC Tatran Prešov,obranca,27.01.1994,29,1,11,0,1,0
Sebastian Sosa Sanchez,FK Senica,útočník,13.03.1994,29,1,7,1,0,0
Milan Jirásek,FK Senica,stredopoliar,14.05.1992,31,2,41,3,6,0
Matej Podstavek,FK Železiarne Podbrezová,obranca,21.02.1991,32,3,36,1,8,1
Pavol Sivák,Spartak Myjava,obranca,25.08.1995,28,0,0,0,0,0
Adrián Candrák,FC ViOn Zlaté Moravce - Vráble,obranca,18.12.1982,40,2,55,1,7,0
Henrich Ravas,FK Senica,brankár,16.08.1997,26,1,24,6,1,0
Filip Moravčík,FC Nitra,stredopoliar,27.07.1991,32,2,12,0,2,0
Patrik Jacko,FK Pohronie Žiar n.H. Dolná Ždaňa,obranca,26.09.1992,31,5,66,1,13,1
Jiří Böhm,FC Nitra,útočník,16.12.1987,35,1,10,0,4,1
Róbert Horeš,Spartak Myjava,obranca,05.11.1987,35,0,0,0,0,0
Ján Oríšek,Spartak Myjava,stredopoliar,18.03.1988,35,0,0,0,0,0
Denis Baumgartner,MFK Skalica,útočník,02.02.1998,25,4,41,2,8,0
Jakub Považanec,MFK Dukla Banská Bystrica,stredopoliar,31.01.1991,32,3,59,7,9,0
Denis Čery,FC Nitra,stredopoliar,01.08.1994,29,2,15,0,0,0
Jozef Urblík,FC Nitra,stredopoliar,22.08.1996,27,1,2,0,0,0
Dionatan Do Nascimento Teixeira,FK Dukla Banská Bystrica,obranca,24.07.1992,31,2,35,3,2,1
Goran Adamović,MFK Ružomberok,obranca,24.04.1987,36,1,21,0,8,0
Martin Luberda,FK Poprad,obranca,18.12.1991,31,2,21,1,2,0
Irfan Hadžić,FC ViOn Zlaté Moravce - Vráble,útočník,15.06.1993,30,1,3,1,0,0
Ari Taner,FC DAC 1904 Dunajská Streda,obranca,29.05.1987,36,0,0,0,0,0
Vladimír Perexta,MŠK Žilina,obranca,13.01.1990,33,1,2,0,1,0
Jiří Kladrubský,ŠK Slovan Bratislava,stredopoliar,19.11.1985,37,2,39,5,14,0
Nizar Ben Nasra,FC DAC 1904 Dunajská Streda,stredopoliar,02.08.1987,36,1,5,0,0,0
Henrich Kováč,FC Nitra,obranca,08.12.1994,28,1,1,0,0,0
Oliver Augustini,FC Spartak Trnava,obranca,12.06.1990,33,2,18,1,3,0
